Scientific_Name,Duration,Active_Growth_Period,Foliage_Color,pH_Min,pH_Max,Precip_Min,Precip_Max,Shade_Tolerance,Temp_Min_F
Corylus cornuta,Perennial,Spring and Summer,Green,4.8,7.5,20,80,Tolerant,-47
Corylus cornuta var. cornuta,Perennial,,,,,,,,
Cosmos,,,,,,,,,
Cosmos parviflorus,Annual,,,,,,,,
Cosmos sulphureus,Annual,,,,,,,,
Cotinus,,,,,,,,,
Cotinus coggygria,Perennial,,,,,,,,
Crassula,,,,,,,,,
Crassula aquatica,Annual,,,,,,,,
Crataegus,,,,,,,,,
Crataegus calpodendron,Perennial,,,,,,,,
Crataegus chrysocarpa,Perennial,,,,,,,,
Crataegus chrysocarpa var. chrysocarpa,Perennial,,,,,,,,
Crataegus crus-galli,Perennial,Spring and Summer,Green,4.5,7.2,24,60,Intolerant,-33
Crataegus dissona,Perennial,,,,,,,,
Crataegus dodgei,Perennial,,,,,,,,
Crataegus flabellata,Perennial,,,,,,,,
Crataegus flava,Perennial,,,,,,,,
Crataegus intricata,Perennial,,,,,,,,
Crataegus iracunda,Perennial,,,,,,,,
Crataegus macrosperma,Perennial,,,,,,,,
Crataegus margarettiae,Perennial,,,,,,,,
Crataegus mollis,Perennial,,,,,,,,
Crataegus pedicellata,Perennial,,,,,,,,
Crataegus pennsylvanica,Perennial,,,,,,,,
Crataegus phaenopyrum,Perennial,Spring and Summer,Green,4.3,7,32,60,Intolerant,-33
Crataegus pruinosa,Perennial,,,,,,,,
Crataegus punctata,Perennial,,,,,,,,
Crataegus schuettei,Perennial,,,,,,,,
Crataegus uniflora,Perennial,,,,,,,,
Crataegus viridis,Perennial,Spring and Summer,Yellow-Green,4.3,7.3,36,60,Intolerant,-24
Crataegus viridis var. viridis,Perennial,,,,,,,,
Crepis,,,,,,,,,
Crepis capillaris,"Annual, Biennial",,,,,,,,
Crepis nicaeensis,Annual,,,,,,,,
Crepis pulchra,Annual,,,,,,,,
Crepis tectorum,Annual,,,,,,,,
Crotalaria,,,,,,,,,
Crotalaria pumila,"Annual, Perennial",,,,,,,,
Crotalaria rotundifolia,Perennial,,,,,,,,
Crotalaria sagittalis,"Annual, Perennial",,,,,,,,
Croton,,,,,,,,,
Croton bonplandianus,Annual,,,,,,,,
Croton capitatus,Annual,,,,,,,,
Croton capitatus var. capitatus,Annual,,,,,,,,
Croton glandulosus,Annual,,,,,,,,
Croton glandulosus var. septentrionalis,Annual,,,,,,,,
Croton michauxii,Annual,,,,,,,,
Croton michauxii var. ellipticus,Annual,,,,,,,,
Croton michauxii var. michauxii,Annual,,,,,,,,
Croton monanthogynus,Annual,,,,,,,,
Cruciata,,,,,,,,,
Cruciata pedemontana,Annual,,,,,,,,
Cryptotaenia,,,,,,,,,
Cryptotaenia canadensis,Perennial,,,,,,,,
Ctenolepis,,,,,,,,,
Ctenolepis cerasiformis,Annual,,,,,,,,
Cunila,,,,,,,,,
Cunila origanoides,Perennial,,,,,,,,
Cuphea,,,,,,,,,
Cuphea viscosissima,Annual,,,,,,,,
Cuscuta,,,,,,,,,
Cuscuta compacta,Perennial,,,,,,,,
Cuscuta compacta var. compacta,Perennial,,,,,,,,
Cuscuta coryli,Perennial,,,,,,,,
Cuscuta epilinum,Perennial,,,,,,,,
Cuscuta epithymum,Perennial,,,,,,,,
Cuscuta gronovii,Perennial,,,,,,,,
Cuscuta gronovii var. gronovii,Perennial,,,,,,,,
Cuscuta indecora,Perennial,,,,,,,,
Cuscuta indecora var. neuropetala,Perennial,,,,,,,,
Cuscuta pentagona,"Annual, Perennial",,,,,,,,
Cuscuta pentagona var. pentagona,Perennial,,,,,,,,
Cuscuta polygonorum,Perennial,,,,,,,,
Cuscuta rostrata,Perennial,,,,,,,,
Cuscuta suaveolens,Perennial,,,,,,,,
Cycloloma,,,,,,,,,
Cycloloma atriplicifolium,Annual,,,,,,,,
Cyclospermum,,,,,,,,,
Cyclospermum leptophyllum,Annual,,,,,,,,
Cydonia,,,,,,,,,
Cydonia oblonga,Perennial,Summer,Green,5,6.5,24,60,Intolerant,-23
Cymbalaria,,,,,,,,,
Cymbalaria muralis,Annual,,,,,,,,
Cymophora,,,,,,,,,
Cymophora accedens,Annual,,,,,,,,
Cymophyllus,,,,,,,,,
Cymophyllus fraserianus,Perennial,,,,,,,,
Cynanchum,,,,,,,,,
Cynanchum laeve,Perennial,,,,,,,,
Cynanchum louiseae,Perennial,,,,,,,,
Cynodon,,,,,,,,,
Cynodon dactylon,Perennial,"Spring, Summer, Fall",Green,5,8,32,100,Intolerant,-8
Cynoglossum,,,,,,,,,
Cynoglossum officinale,Biennial,,,,,,,,
Cynoglossum virginianum,Perennial,,,,,,,,
Cynoglossum virginianum var. virginianum,Perennial,,,,,,,,
Cynosurus,,,,,,,,,
Cynosurus cristatus,Perennial,,,,,,,,
Cynosurus echinatus,Annual,,,,,,,,
Cyperus,,,,,,,,,
Cyperus acuminatus,"Annual, Perennial",Spring and Summer,Green,4.9,6.8,24,55,Intermediate,-38
Cyperus bipartitus,Annual,"Spring, Summer, Fall",Green,4.5,6.5,30,50,Intolerant,32
Cyperus compressus,"Annual, Perennial",Summer and Fall,Green,5,6.5,30,50,Intolerant,37
Cyperus croceus,Perennial,,,,,,,,
Cyperus dentatus,Perennial,,,,,,,,
Cyperus diandrus,Annual,,,,,,,,
Cyperus difformis,Annual,,,,,,,,
Cyperus echinatus,Perennial,,,,,,,,
Cyperus erythrorhizos,"Annual, Perennial",Summer and Fall,Dark Green,5,6.5,14,50,Intolerant,37
Cyperus esculentus,Perennial,Summer and Fall,Green,5,7,14,55,Intolerant,42
Cyperus esculentus var. leptostachyus,Perennial,,,,,,,,
Cyperus esculentus var. sativus,Perennial,,,,,,,,
Cyperus filicinus,"Annual, Perennial",,,,,,,,
Cyperus flavescens,Annual,Summer and Fall,Green,5,7,24,55,Intolerant,42
Cyperus flavicomus,Annual,,,,,,,,
Cyperus fuscus,Annual,,,,,,,,
Cyperus grayi,Perennial,,,,,,,,
Cyperus houghtonii,Perennial,,,,,,,,
Cyperus hystricinus,Perennial,,,,,,,,
Cyperus iria,Annual,,,,,,,,
Cyperus lancastriensis,Perennial,Summer and Fall,Green,5,7,32,55,Intolerant,7
Cyperus lupulinus,Perennial,,,,,,,,
Cyperus lupulinus ssp. lupulinus,Perennial,,,,,,,,
Cyperus lupulinus ssp. macilentus,Perennial,,,,,,,,
Cyperus odoratus,"Annual, Perennial",Summer and Fall,Green,5,8.3,18,55,Intolerant,42
Cyperus plukenetii,Perennial,,,,,,,,
Cyperus polystachyos,"Annual, Perennial",Spring and Fall,Green,4.5,6.5,32,55,Intolerant,47
Cyperus polystachyos var. texensis,"Annual, Perennial",,,,,,,,
Cyperus pseudovegetus,Perennial,"Spring, Summer, Fall",Green,4.6,6.8,30,55,Intolerant,7
Cyperus refractus,Perennial,,,,,,,,
Cyperus retrofractus,Perennial,,,,,,,,
Cyperus retrorsus,Perennial,,,,,,,,
Cyperus retrorsus var. retrorsus,Perennial,,,,,,,,
Cyperus rotundus,Perennial,,,,,,,,
Cyperus squarrosus,Annual,,,,,,,,
Cyperus strigosus,Perennial,Spring,Green,6.4,7,16,60,Intolerant,-33
Cypripedium,,,,,,,,,
Cypripedium acaule,Perennial,,,,,,,,
Cypripedium candidum,Perennial,,,,,,,,
Cypripedium parviflorum,Perennial,,,,,,,,
Cypripedium parviflorum var. parviflorum,Perennial,,,,,,,,
Cypripedium parviflorum var. pubescens,Perennial,,,,,,,,
Cypripedium reginae,Perennial,,,,,,,,
Cystopteris,,,,,,,,,
Cystopteris bulbifera,Perennial,,,,,,,,
Cystopteris protrusa,Perennial,,,,,,,,
Cystopteris tennesseensis,Perennial,,,,,,,,
Cystopteris tenuis,Perennial,,,,,,,,
Cytisus,,,,,,,,,
Cytisus scoparius,Perennial,Spring and Summer,Green,5.5,7,30,60,Intolerant,-13
Cytisus scoparius var. scoparius,Perennial,,,,,,,,
Dactylis,,,,,,,,,
Dactylis glomerata,Perennial,Spring and Fall,Green,5,7.5,32,65,Tolerant,-33
Dactylis glomerata ssp. glomerata,Perennial,,,,,,,,
Dactyloctenium,,,,,,,,,
Dactyloctenium aegyptium,Annual,,,,,,,,
Dactyloctenium germinatum,Perennial,,,,,,,,
Dactylorhiza,,,,,,,,,
Dactylorhiza viridis,Perennial,,,,,,,,
Dalea,,,,,,,,,
Dalea brachystachya,"Annual, Biennial",,,,,,,,
Dalea carthagenensis,Perennial,,,,,,,,
Dalea carthagenensis var. floridana,Perennial,,,,,,,,
Dalibarda,,,,,,,,,
Dalibarda repens,Perennial,,,,,,,,
Danthonia,,,,,,,,,
Danthonia compressa,Perennial,Spring,Green,4.8,7,32,55,Tolerant,-33
Danthonia sericea,Perennial,,,,,,,,
Danthonia spicata,Perennial,,,,,,,,
Dasyochloa,,,,,,,,,
Dasyochloa pulchella,Perennial,,,,,,,,
Datura,,,,,,,,,
Datura inoxia,"Annual, Perennial",,,,,,,,
Datura quercifolia,Annual,,,,,,,,
Datura stramonium,Annual,,,,,,,,
Datura wrightii,"Annual, Perennial",,,,,,,,
Daucus,,,,,,,,,
Daucus carota,Biennial,,,,,,,,
Decodon,,,,,,,,,
Decodon verticillatus,Perennial,Summer and Fall,Green,4.9,8.6,30,60,Intermediate,-23
Delphinium,,,,,,,,,
Delphinium exaltatum,Perennial,,,,,,,,
Delphinium tricorne,Perennial,,,,,,,,
Dennstaedtia,,,,,,,,,
Dennstaedtia punctilobula,Perennial,,,,,,,,
Deparia,,,,,,,,,
Deparia acrostichoides,Perennial,,,,,,,,
Deschampsia,,,,,,,,,
Deschampsia cespitosa,Perennial,,,,,,,,
Deschampsia flexuosa,Perennial,Spring and Summer,Green,4.8,6.8,32,55,Tolerant,-38
Deschampsia flexuosa var. flexuosa,Perennial,,,,,,,,
Descurainia,,,,,,,,,
Descurainia pinnata,"Annual, Biennial, Perennial",,,,,,,,
Descurainia pinnata ssp. brachycarpa,"Annual, Biennial",,,,,,,,
Descurainia sophia,"Annual, Biennial",,,,,,,,
Desmanthus,,,,,,,,,
Desmanthus illinoensis,Perennial,Spring and Summer,Green,5,8,16,24,Intolerant,-18
Desmodium,,,,,,,,,
Desmodium canadense,Perennial,,,,,,,,
Desmodium canescens,Perennial,,,,,,,,
Desmodium ciliare,Perennial,,,,,,,,
Desmodium ciliare var. ciliare,Perennial,,,,,,,,
Desmodium cuspidatum,Perennial,,,,,,,,
Desmodium cuspidatum var. cuspidatum,Perennial,,,,,,,,
Desmodium fernaldii,Perennial,,,,,,,,
Desmodium glabellum,Perennial,,,,,,,,
Desmodium glutinosum,Perennial,,,,,,,,
Desmodium humifusum,Perennial,,,,,,,,
Desmodium laevigatum,Perennial,,,,,,,,
Desmodium lineatum,Perennial,,,,,,,,
Desmodium marilandicum,Perennial,,,,,,,,
Desmodium nudiflorum,Perennial,,,,,,,,
Desmodium nuttallii,Perennial,,,,,,,,
Desmodium obtusum,Perennial,,,,,,,,
Desmodium ochroleucum,Perennial,,,,,,,,
Desmodium paniculatum,Perennial,Spring and Summer,Green,6,7,45,90,Intermediate,-13
Desmodium paniculatum var. paniculatum,Perennial,,,,,,,,
Desmodium pauciflorum,Perennial,,,,,,,,
Desmodium perplexum,Perennial,Summer,Green,5.6,7,20,60,Intermediate,-33
Desmodium rotundifolium,Perennial,,,,,,,,
Desmodium sessilifolium,Perennial,,,,,,,,
Desmodium strictum,Perennial,,,,,,,,
Desmodium tenuifolium,Perennial,,,,,,,,
Desmodium viridiflorum,Perennial,,,,,,,,
Deutzia,,,,,,,,,
Deutzia gracilis,Perennial,,,,,,,,
Deutzia scabra,Perennial,,,,,,,,
Dianthus,,,,,,,,,
Dianthus armeria,"Annual, Biennial",,,,,,,,
Dianthus barbatus,Perennial,,,,,,,,
Dianthus deltoides,Perennial,,,,,,,,
Dianthus plumarius,Perennial,,,,,,,,
Diarrhena,,,,,,,,,
Diarrhena americana,Perennial,,,,,,,,
Diarrhena obovata,Perennial,,,,,,,,
Dicentra,,,,,,,,,
Dicentra canadensis,Perennial,,,,,,,,
Dicentra cucullaria,Perennial,,,,,,,,
Dicentra eximia,Perennial,,,,,,,,
Dichanthelium,,,,,,,,,
Dichanthelium aciculare,Perennial,Summer,Gray-Green,4,6.5,30,60,Intermediate,2
Dichanthelium acuminatum,Perennial,,,,,,,,
Dichanthelium acuminatum var. acuminatum,Perennial,,,,,,,,
Dichanthelium acuminatum var. fasciculatum,Perennial,,,,,,,,
Dichanthelium acuminatum var. lindheimeri,Perennial,,,,,,,,
Dichanthelium boreale,Perennial,,,,,,,,
Dichanthelium boscii,Perennial,,,,,,,,
Dichanthelium clandestinum,Perennial,Spring and Summer,Green,4,7.5,32,65,Intolerant,-33
Dichanthelium commutatum,Perennial,Summer,Green,4,6.5,30,60,Intermediate,-28
Dichanthelium depauperatum,Perennial,,,,,,,,
Dichanthelium dichotomum,Perennial,,,,,,,,
Dichanthelium dichotomum var. dichotomum,Perennial,,,,,,,,
Dichanthelium dichotomum var. ensifolium,Perennial,,,,,,,,
Dichanthelium dichotomum var. tenue,Perennial,,,,,,,,
Dichanthelium latifolium,Perennial,Summer,Green,4,6.5,20,60,Intermediate,-43
Dichanthelium laxiflorum,Perennial,,,,,,,,
Dichanthelium leucothrix,Perennial,,,,,,,,
Dichanthelium linearifolium,Perennial,,,,,,,,
Dichanthelium longiligulatum,Perennial,,,,,,,,
Dichanthelium meridionale,Perennial,,,,,,,,
Dichanthelium oligosanthes,Perennial,,,,,,,,
Dichanthelium oligosanthes var. oligosanthes,Perennial,,,,,,,,
Dichanthelium oligosanthes var. scribnerianum,Perennial,,,,,,,,
Dichanthelium ovale,Perennial,Spring,Green,4,6.5,35,50,Tolerant,-13
Dichanthelium ovale var. addisonii,Perennial,,,,,,,,
Dichanthelium ovale var. ovale,Perennial,,,,,,,,
Dichanthelium ravenelii,Perennial,,,,,,,,
Dichanthelium sabulorum,Perennial,,,,,,,,
Dichanthelium sabulorum var. patulum,Perennial,,,,,,,,
Dichanthelium sabulorum var. thinium,Perennial,,,,,,,,
Dichanthelium scabriusculum,Perennial,Summer,Green,4,7,40,65,Intermediate,-3
Dichanthelium scoparium,Perennial,Summer,Gray-Green,4.5,7.5,30,55,Tolerant,-38
Dichanthelium sphaerocarpon,Perennial,,,,,,,,
Dichanthelium sphaerocarpon var. isophyllum,Perennial,,,,,,,,
Dichanthelium sphaerocarpon var. sphaerocarpon,Perennial,,,,,,,,
Dichanthelium spretum,Perennial,,,,,,,,
Dichanthelium villosissimum,Perennial,,,,,,,,
Dichanthelium villosissimum var. villosissimum,Perennial,,,,,,,,
Dichanthelium wrightianum,Perennial,,,,,,,,
Dichondra,,,,,,,,,
Dichondra carolinensis,Perennial,,,,,,,,
Dichondra micrantha,Perennial,,,,,,,,
Diervilla,,,,,,,,,
Diervilla lonicera,Perennial,Spring,Dark Green,4.8,7,32,50,Intermediate,-23
Digitalis,,,,,,,,,
Digitalis lanata,Perennial,,,,,,,,
Digitalis lutea,Perennial,,,,,,,,
Digitalis purpurea,Biennial,Spring and Summer,Dark Green,5.5,7,40,60,Intolerant,-13
Digitalis purpurea ssp. purpurea,Biennial,,,,,,,,
Digitaria,,,,,,,,,
Digitaria ciliaris,Annual,,,,,,,,
Digitaria cognata,Perennial,,,,,,,,
Digitaria filiformis,"Annual, Perennial",,,,,,,,
Digitaria ischaemum,Annual,,,,,,,,
Digitaria longiflora,Annual,,,,,,,,
Digitaria sanguinalis,Annual,,,,,,,,
Digitaria villosa,Perennial,,,,,,,,
Dinebra,,,,,,,,,
Dinebra retroflexa,Annual,,,,,,,,
Diodia,,,,,,,,,
Diodia teres,"Annual, Perennial",,,,,,,,
Diodia teres var. hystricina,"Annual, Perennial",,,,,,,,
Diodia teres var. teres,"Annual, Perennial",,,,,,,,
Diodia virginiana,"Annual, Perennial",,,,,,,,
Diodia virginiana var. virginiana,"Annual, Perennial",,,,,,,,
Dioscorea,,,,,,,,,
Dioscorea oppositifolia,Perennial,,,,,,,,
Dioscorea quaternata,Perennial,,,,,,,,
Dioscorea villosa,Perennial,,,,,,,,
Diospyros,,,,,,,,,
Diospyros virginiana,Perennial,Spring and Summer,Dark Green,4.7,7.5,30,80,Tolerant,-21
Diplazium,,,,,,,,,
Diplazium pycnocarpon,Perennial,,,,,,,,
Diplotaxis,,,,,,,,,
Diplotaxis siifolia,Annual,,,,,,,,
Diplotaxis tenuifolia,Perennial,,,,,,,,
Dipsacus,,,,,,,,,
Dipsacus fullonum,Biennial,,,,,,,,
Dipsacus laciniatus,Biennial,,,,,,,,
Dirca,,,,,,,,,
Dirca palustris,Perennial,,,,,,,,
Distichlis,,,,,,,,,
Distichlis spicata,Perennial,"Spring, Summer, Fall",Green,6.4,10,5,70,Intolerant,-35
Dodecatheon,,,,,,,,,
Dodecatheon meadia,Perennial,Spring,Green,4.5,7.5,30,55,Tolerant,-38
Dodecatheon meadia ssp. meadia,Perennial,,,,,,,,
Doellingeria,,,,,,,,,
Doellingeria infirma,Perennial,,,,,,,,
Doellingeria sericocarpoides,Perennial,,,,,,,,
Doellingeria umbellata,Perennial,,,,,,,,
Doellingeria umbellata var. umbellata,Perennial,,,,,,,,
Draba,,,,,,,,,
Draba ramosissima,Perennial,,,,,,,,
Draba verna,Annual,,,,,,,,
Dracocephalum,,,,,,,,,
Dracocephalum parviflorum,"Annual, Biennial, Perennial",,,,,,,,
Drosera,,,,,,,,,
Drosera capillaris,Perennial,,,,,,,,
Drosera filiformis,Perennial,,,,,,,,
Drosera intermedia,Perennial,,,,,,,,
Drosera rotundifolia,Perennial,,,,,,,,
Drosera rotundifolia var. rotundifolia,Perennial,,,,,,,,
Dryopteris,,,,,,,,,
Dryopteris ?australis,Perennial,,,,,,,,
Dryopteris ?boottii,Perennial,,,,,,,,
Dryopteris ?burgessii,Perennial,,,,,,,,
Dryopteris campyloptera,Perennial,,,,,,,,
Dryopteris carthusiana,Perennial,,,,,,,,
Dryopteris celsa,Perennial,,,,,,,,
Dryopteris cristata,Perennial,Spring and Summer,Dark Green,3.5,6.5,15,55,Tolerant,-33
Dryopteris goldiana,Perennial,,,,,,,,
Dryopteris intermedia,Perennial,,,,,,,,
Dryopteris ?leedsii,Perennial,,,,,,,,
Dryopteris marginalis,Perennial,,,,,,,,
Dryopteris ?neowherryi,Perennial,,,,,,,,
Dryopteris ?separabilis,Perennial,,,,,,,,
Dryopteris ?slossoniae,Perennial,,,,,,,,
Dryopteris ?triploidea,Perennial,,,,,,,,
Dryopteris ?uliginosa,Perennial,,,,,,,,
Duchesnea,,,,,,,,,
Duchesnea indica,Perennial,,,,,,,,
Dulichium,,,,,,,,,
Dulichium arundinaceum,Perennial,Summer,Dark Green,4.7,7.5,16,60,Intermediate,-38
Dulichium arundinaceum var. arundinaceum,Perennial,,,,,,,,
Dysphania,,,,,,,,,
Dysphania ambrosioides,Annual,,,,,,,,
Dysphania anthelmintica,Annual,,,,,,,,
Dysphania botrys,Annual,,,,,,,,
Dysphania plantaginella,Annual,,,,,,,,
Dyssodia,,,,,,,,,
Dyssodia papposa,Annual,,,,,,,,
Echinacea,,,,,,,,,
Echinacea pallida,Perennial,Spring and Summer,Green,6.5,7.2,14,40,Intolerant,-33
Echinacea purpurea,Perennial,Spring and Summer,Green,6.5,7.2,14,40,Intolerant,-33
Echinochloa,,,,,,,,,
Echinochloa colona,Annual,Spring,Green,4,8.5,12,60,Intolerant,37
Echinochloa crus-galli,Annual,,,,,,,,
Echinochloa crus-pavonis,Annual,,,,,,,,
Echinochloa crus-pavonis var. macera,Annual,,,,,,,,
Echinochloa frumentacea,Annual,Spring,Green,4.7,7.4,18,60,Intolerant,37
Echinochloa muricata,Annual,,,,,,,,
Echinochloa muricata var. microstachya,Annual,,,,,,,,
Echinochloa muricata var. muricata,Annual,,,,,,,,
Echinochloa walteri,Annual,Summer,Green,3.8,9.4,28,50,Intolerant,32
Echinocystis,,,,,,,,,
Echinocystis lobata,Annual,,,,,,,,
Echinodorus,,,,,,,,,
Echinodorus cordifolius,Perennial,,,,,,,,
Echinops,,,,,,,,,
Echinops sphaerocephalus,Perennial,,,,,,,,
Echium,,,,,,,,,
Echium italicum,Biennial,,,,,,,,
Echium vulgare,"Annual, Biennial, Perennial",,,,,,,,
Eclipta,,,,,,,,,
Eclipta prostrata,"Annual, Perennial",Summer,Green,5.2,7.9,35,50,Intermediate,32
Egeria,,,,,,,,,
Egeria densa,Perennial,,,,,,,,
Elaeagnus,,,,,,,,,
Elaeagnus angustifolia,Perennial,Spring and Summer,White-Gray,6,9.5,12,40,Intolerant,-38
Elaeagnus commutata,Perennial,Spring and Summer,White-Gray,5,7.9,16,45,Intolerant,-38
Elaeagnus multiflora,Perennial,,,,,,,,
Elaeagnus umbellata,Perennial,Spring and Summer,White-Gray,5,7.5,28,45,Intolerant,-23
Elaeagnus umbellata var. parvifolia,Perennial,,,,,,,,
Elatine,,,,,,,,,
Elatine americana,Annual,,,,,,,,
Elatine minima,Annual,,,,,,,,
Eleocharis,,,,,,,,,
Eleocharis acicularis,"Annual, Perennial","Spring, Summer, Fall",,4.5,7,14,50,Intolerant,-23
Eleocharis acicularis var. acicularis,"Annual, Perennial",,,,,,,,
Eleocharis albida,Perennial,,,,,,,,
Eleocharis compressa,Perennial,Spring and Summer,,5.4,7,24,60,Intolerant,-33
Eleocharis compressa var. compressa,Perennial,,,,,,,,
Eleocharis engelmannii,Annual,,,,,,,,
Eleocharis equisetoides,Perennial,Summer and Fall,,5,7,35,60,Intolerant,-33
Eleocharis erythropoda,Perennial,,,,,,,,
Eleocharis fallax,Perennial,,,,,,,,
Eleocharis flavescens,Perennial,,,,,,,,
Eleocharis flavescens var. flavescens,Perennial,,,,,,,,
Eleocharis geniculata,Annual,,,,,,,,
Eleocharis halophila,Perennial,,,,,,,,
Eleocharis intermedia,Perennial,,,,,,,,
Eleocharis melanocarpa,Perennial,,,,,,,,
Eleocharis microcarpa,Annual,,,,,,,,
Eleocharis obtusa,"Annual, Perennial",Spring,Dark Green,4.1,8.7,18,60,Intolerant,37
Eleocharis olivacea,Perennial,,,,,,,,
Eleocharis olivacea var. olivacea,Perennial,,,,,,,,
Eleocharis ovata,Annual,Summer and Fall,,4.6,6.8,32,60,Intolerant,47
Eleocharis palustris,Perennial,Spring,Dark Green,4,8,16,60,Intolerant,-38
Eleocharis palustris var. palustris,Perennial,,,,,,,,
Eleocharis parvula,"Annual, Perennial",Summer and Fall,,6,8,18,60,Intolerant,-38
Eleocharis quadrangulata,Perennial,"Spring, Summer, Fall",,5.8,7.2,24,60,Intolerant,-28
Eleocharis robbinsii,Perennial,,,,,,,,
Eleocharis rostellata,Perennial,"Spring, Summer, Fall",,6,8,10,55,Intolerant,-28
Eleocharis tenuis,Perennial,Spring,Dark Green,6.2,7,24,60,Intolerant,-23
Eleocharis tenuis var. pseudoptera,Perennial,,,,,,,,
Eleocharis tenuis var. tenuis,Perennial,,,,,,,,
Eleocharis tenuis var. verrucosa,Perennial,,,,,,,,
Eleocharis tortilis,Perennial,,,,,,,,
Eleocharis tricostata,Perennial,,,,,,,,
Eleocharis tuberculosa,Perennial,,,,,,,,
Elephantopus,,,,,,,,,
Elephantopus carolinianus,Perennial,Summer,Dark Green,5,7.2,32,55,Intolerant,-13
Elephantopus nudatus,Perennial,,,,,,,,
Elephantopus tomentosus,Perennial,,,,,,,,
Eleusine,,,,,,,,,
Eleusine indica,Annual,,,,,,,,
Ellisia,,,,,,,,,
Ellisia nyctelea,Annual,,,,,,,,
Elodea,,,,,,,,,
Elodea canadensis,Perennial,Spring,Gray-Green,4.8,7.8,12,60,Intolerant,-33
Elodea nuttallii,Perennial,,,,,,,,
Elymus,,,,,,,,,
Elymus canadensis,Perennial,"Spring, Summer, Fall",Green,5,7.9,20,45,Tolerant,-43
Elymus glabriflorus,Perennial,,,,,,,,
Elymus hystrix,Perennial,,,,,,,,
Elymus hystrix var. bigeloviana,Perennial,,,,,,,,
Elymus hystrix var. hystrix,Perennial,,,,,,,,
Elymus macgregorii,Perennial,,,,,,,,
Elymus repens,Perennial,Spring and Summer,Green,5.2,7.8,24,65,Intolerant,-43
Elymus riparius,Perennial,Spring and Summer,Dark Green,4.5,7.2,24,55,Tolerant,-33
Elymus trachycaulus,Perennial,,,,,,,,
Elymus trachycaulus ssp. subsecundus,Perennial,,,,,,,,
Elymus trachycaulus ssp. trachycaulus,Perennial,Spring,Green,5.6,9,8,25,Intolerant,-38
Elymus villosus,Perennial,,,,,,,,
Elymus virginicus,Perennial,Spring,Green,5,7,36,55,Tolerant,-28
Elymus virginicus var. halophilus,Perennial,,,,,,,,
Elymus virginicus var. virginicus,Perennial,,,,,,,,
Enneapogon,,,,,,,,,
Enneapogon desvauxii,Perennial,,,,,,,,
Epifagus,,,,,,,,,
Epifagus virginiana,Annual,,,,,,,,
Epigaea,,,,,,,,,
Epigaea repens,Perennial,,,,,,,,
Epilobium,,,,,,,,,
Epilobium ciliatum,Perennial,,,,,,,,
Epilobium ciliatum ssp. ciliatum,Perennial,,,,,,,,
Epilobium coloratum,Perennial,Spring,Green,4.5,7.5,20,55,Intermediate,-33
Epilobium hirsutum,Perennial,,,,,,,,
Epilobium leptophyllum,Perennial,Spring,Green,4,6.5,15,50,Intermediate,-33
Epilobium strictum,Perennial,,,,,,,,
Epipactis,,,,,,,,,
Epipactis helleborine,Perennial,,,,,,,,
Equisetum,,,,,,,,,
Equisetum arvense,Perennial,Spring,Green,4,7,20,100,Intermediate,-43
Equisetum ?ferrissii,Perennial,,,,,,,,
Equisetum fluviatile,Perennial,Spring and Summer,Green,4.5,6,30,55,Intolerant,-33
Equisetum hyemale,Perennial,,,,,,,,
Equisetum hyemale var. affine,Perennial,,,,,,,,
Equisetum ?litorale,Perennial,,,,,,,,
Equisetum sylvaticum,Perennial,Spring,Green,4,6.5,20,100,Tolerant,-43
Eragrostis,,,,,,,,,
Eragrostis barrelieri,Annual,,,,,,,,
Eragrostis capillaris,Annual,,,,,,,,
Eragrostis cilianensis,Annual,,,,,,,,
Eragrostis curvula,Perennial,Summer,Green,4.5,8.5,15,40,Intolerant,-8
Eragrostis cylindriflora,Annual,,,,,,,,
Eragrostis frankii,Annual,,,,,,,,
Eragrostis hirsuta,Perennial,,,,,,,,
Eragrostis hypnoides,Annual,Spring,Green,4.5,8.5,16,60,Intolerant,-38
Eragrostis mexicana,Annual,,,,,,,,
Eragrostis mexicana ssp. mexicana,Annual,,,,,,,,
Eragrostis mexicana ssp. virescens,Annual,,,,,,,,
Eragrostis minor,Annual,,,,,,,,
Eragrostis pectinacea,"Annual, Perennial",,,,,,,,
Eragrostis pectinacea var. pectinacea,Annual,,,,,,,,
Eragrostis pilosa,Annual,,,,,,,,
Eragrostis refracta,Perennial,,,,,,,,
Eragrostis spectabilis,Perennial,Spring,Green,4,7.5,10,60,Intolerant,-43
Eragrostis trichophora,Perennial,,,,,,,,
Eragrostis unioloides,Annual,,,,,,,,
Erechtites,,,,,,,,,
Erechtites hieraciifolia,Annual,,,,,,,,
Erechtites hieraciifolia var. hieraciifolia,Annual,,,,,,,,
Erigenia,,,,,,,,,
Erigenia bulbosa,"Annual, Perennial",,,,,,,,
Erigeron,,,,,,,,,
Erigeron annuus,Annual,,,,,,,,
Erigeron philadelphicus,"Biennial, Perennial",Spring and Summer,Green,4.8,7.8,18,55,Intermediate,-28
Erigeron philadelphicus var. philadelphicus,"Biennial, Perennial",,,,,,,,
Erigeron pulchellus,Perennial,,,,,,,,
Erigeron pulchellus var. brauniae,Perennial,,,,,,,,
Erigeron pulchellus var. pulchellus,Perennial,,,,,,,,
Erigeron strigosus,"Annual, Biennial, Perennial",Spring and Summer,Green,4.8,7.2,12,55,Intolerant,-28
